Date,Usd_raw,Gbp_raw,Cny_raw,Dollar_ex,Eur_raw,Dollar_price,Local_price,Jpy_raw
2018-07-01,-0.50503,-0.35549,-0.11902,0.385,-0.42403,2.72727272727273,1.05,-0.22203
2019-01-01,-0.51111,-0.33023,-0.10594,0.3849,-0.41231,2.72798129384256,1.05,-0.24148
2019-07-09,-0.45246,-0.2337,0.03035,0.385,-0.31262,3.14285714285714,1.21,-0.12351
2020-01-14,-0.47097,-0.31985,-0.03943,0.38505,-0.34536,2.99961044020257,1.155,-0.15365
2020-07-01,-0.49962,-0.33203,-0.07788,0.385,-0.40304,2.85714285714286,1.1,-0.2141
2021-01-01,-0.4952,-0.35617,-0.17409,0.385,-0.44672,2.85714285714286,1.1,-0.23593
2021-07-01,-0.47139,-0.37129,-0.13605,0.38505,-0.40536,2.98662511362161,1.15,-0.15812
