JPY_RAW,DATE,CNY_RAW,GBP_RAW,USD_RAW,LOCAL_PRICE,EUR_RAW,DOLLAR_PRICE,DOLLAR_EX
-0.2166,2018-07-01,-0.11288,-0.351,-0.50158,1.95,-0.42001,2.74628547285402,0.71005
-0.23591,2019-01-01,-0.09937,-0.32531,-0.50752,1.95,-0.408,2.74802705749718,0.7096
-0.0953,2019-07-09,0.06351,-0.20903,-0.43484,2.3,-0.2905,3.24400564174894,0.709
-0.08469,2020-01-14,0.03884,-0.26443,-0.42786,2.3,-0.29202,3.24400564174894,0.709
-0.10769,2020-07-01,0.04698,-0.24158,-0.43187,2.3,-0.32221,3.24400564174894,0.709
-0.13248,2021-01-01,-0.06227,-0.26899,-0.42685,2.3,-0.3718,3.24400564174894,0.709
-0.15315,2021-07-01,-0.13096,-0.36759,-0.46828,2.13,-0.40186,3.00423131170663,0.709
