Local_price,Dollar_ex,Gbp_raw,Date,Cny_raw,Eur_raw,Usd_raw,Dollar_price,Jpy_raw
85,23.9926,-0.16277,2018-07-01,0.1444,-0.25181,-0.35703,3.54275901736369,0.01059
85,24.3391,-0.14257,2019-01-01,0.14456,-0.24765,-0.37414,3.49232305220818,-0.02896
86,24.4834,-0.14355,2019-07-09,0.15156,-0.23176,-0.38805,3.51258403653087,-0.02039
87,24.6548,-0.19988,2020-01-14,0.13001,-0.22988,-0.37765,3.52872462968671,-0.00436
87,24.6907,-0.17622,2020-07-01,0.13721,-0.26379,-0.38291,3.52359390377754,-0.03079
87,24.103,-0.18663,2021-01-01,0.04339,-0.30102,-0.36228,3.60950918972742,-0.03473
87,23.744,-0.22868,2021-07-01,0.05992,-0.27048,-0.35149,3.66408355795148,0.03285
