dollar_ex,usd_raw,eur_raw,cny_raw,dollar_price,local_price,date,gbp_raw,jpy_raw
31.5872,-0.4082,-0.31135,0.05332,3.26081450714213,103,2018-07-01,-0.2294,-0.06983
32.3607,-0.42959,-0.31432,0.04314,3.18287305280788,103,2019-01-01,-0.21854,-0.115
33.1621,-0.42212,-0.27453,0.08745,3.31703963259263,110,2019-07-09,-0.19123,-0.07493
33.8763,-0.37526,-0.22692,0.13436,3.54229948370985,120,2020-01-14,-0.1968,-5.3e-4
34.3752,-0.38864,-0.27063,0.12666,3.49088878028346,120,2020-07-01,-0.18386,-0.03978
34.8453,-0.37127,-0.31088,0.02867,3.55858609338993,124,2021-01-01,-0.1981,-0.04835
35.2063,-0.35651,-0.27613,0.05171,3.63571292637965,128,2021-07-01,-0.23465,0.02485
