Gbp_raw,Dollar_price,Eur_raw,Jpy_raw,Dollar_ex,Local_price,Cny_raw,Date,Usd_raw
-0.21385,3.32660092669597,-0.29746,-0.05107,6.31275,21,0.07457,2018-07-01,-0.39626
-0.20419,3.24131597428556,-0.30173,-0.09875,6.47885,21,0.0623,2019-01-01,-0.41912
-0.18702,3.3342932056198,-0.27075,-0.07012,6.5981,22,0.09311,2019-07-09,-0.41911
-0.25507,3.28529829015157,-0.28301,-0.07304,6.6965,22,0.05206,2020-01-14,-0.42058
-0.2239,3.31965234186383,-0.3064,-0.08688,6.6272,22,0.07139,2020-07-01,-0.41862
-0.16925,3.68663594470046,-0.28608,-0.01411,6.23875,23,0.06568,2021-01-01,-0.34865
-0.21035,3.75114292636038,-0.25315,0.05739,6.39805,24,0.0851,2021-07-01,-0.33608
