Date,Usd_raw,Eur_raw,Local_price,Dollar_ex,Cny_raw,Gbp_raw,Dollar_price,Jpy_raw
2018-07-01,-0.394,-0.29482,25,7.4871,0.0786,-0.21091,3.33907654499072,-0.04751
2019-01-01,-0.42028,-0.30312,25,7.7283,0.06018,-0.20578,3.23486407101174,-0.10054
2019-07-09,-0.43291,-0.28807,25,7.6802,0.06715,-0.20632,3.25512356449051,-0.0922
2020-01-14,-0.42785,-0.292,25,7.7063,0.03887,-0.26441,3.2440989839482,-0.08466
2020-07-01,-0.43087,-0.32102,25,7.693,0.04882,-0.24025,3.24970752632263,-0.10612
2021-01-01,-0.43379,-0.3794,25,7.8009,-0.07361,-0.27784,3.2047584253099,-0.14297
2021-07-01,-0.40582,-0.3316,26,7.7448,-0.02889,-0.29331,3.35709120958579,-0.05369
