jpy_raw,date,local_price,cny_raw,dollar_price,dollar_ex,gbp_raw,usd_raw,eur_raw
-0.00985,2018-07-01,1.05,0.12124,3.47107438016529,0.3025,-0.17971,-0.37004,-0.26695
-0.03677,2019-01-01,1.05,0.13535,3.46420323325635,0.3031,-0.14947,-0.37918,-0.25371
0.00746,2019-07-09,1.1,0.18431,3.61247947454844,0.3045,-0.11919,-0.37065,-0.20991
0.02297,2020-01-14,1.1,0.16103,3.6255767963085,0.3034,-0.17791,-0.36057,-0.20874
0.02769,2020-07-01,1.15,0.20583,3.73619233268356,0.3078,-0.12651,-0.34568,-0.21937
0.01263,2021-01-01,1.15,0.09459,3.78663154428713,0.3037,-0.14672,-0.33098,-0.26672
0.1714,2021-07-01,1.25,0.2021,4.15558510638298,0.3008,-0.12522,-0.2645,-0.17262
