LOCAL_PRICE,DATE,JPY_RAW,CNY_RAW,DOLLAR_PRICE,USD_RAW,DOLLAR_EX,GBP_RAW,EUR_RAW
9.2,2018-07-01,-0.33949,-0.25204,2.31548480463097,-0.57977,3.97325,-0.4528,-0.51099000000000006
9.3,2019-01-01,-0.36417,-0.25056,2.28672592483311,-0.59019,4.06695,-0.43856,-0.50737
9.3,2019-07-09,-0.38528,-0.27738,2.20420932878271,-0.61599,4.2192,-0.46256,-0.51792
9.5,2020-01-14,-0.37638,-0.29221,2.21022753710856,-0.61019,4.2982,-0.49884,-0.51763
9.9,2020-07-01,-0.36077,-0.24997,2.32391638595791,-0.59301,4.26005,-0.45669,-0.51445
9.9,2021-01-01,-0.3396,-0.28615,2.46950535059493,-0.56369,4.0089,-0.44352,-0.52178
10.6,2021-07-01,-0.28649,-0.26779,2.53122238937842,-0.552,4.1877,-0.46716,-0.49603
