Dollar_price,Cny_raw,Eur_raw,Usd_raw,Jpy_raw,Dollar_ex,Date,Gbp_raw,Local_price
3.16163878276907,0.02129,-0.33229,-0.4262,-0.09812,0.37955,2018-07-01,-0.25284,1.2
3.18302387267905,0.04319,-0.31429,-0.42957,-0.11496,0.377,2019-01-01,-0.2185,1.2
3.71352785145889,0.21744,-0.18781,-0.35304,0.03565,0.377,2019-07-09,-0.09455,1.4
3.71352785145889,0.18919,-0.18955,-0.34506,0.04779,0.377,2020-01-14,-0.15797,1.4
3.71303540644477,0.19835,-0.22421,-0.34973,0.02132,0.37705,2020-07-01,-0.13193,1.4
3.97877984084881,0.15013,-0.22951,-0.29704,0.06402,0.377,2021-01-01,-0.10342,1.5
3.97877984084881,0.15095,-0.20782,-0.29579,0.12156,0.377,2021-07-01,-0.16244,1.5
